BernalilloCountyS,OteroCountyM,EddyCountyS,McKinleyCountyS,McKinleyCountyM,OteroCountyS,EddyCountyM,date,BernalilloCountyM,ChavesCountyM,ChavesCountyS
,6 new cases in Otero County,1 new case in Eddy County,,16 new cases in McKinley County,,,"Jul 17, 2020",111 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jul 17, 2020",,,
,3 new cases in Otero County,,,19 new cases in McKinley County,,5 new cases in Eddy County,"Jul 18, 2020",99 new cases in Bernalillo County,8 new cases in Chaves County,
,,,,,,,"Jul 18, 2020",,,
,2 new cases in Otero County,,,11 new cases in McKinley County,,8 new cases in Eddy County,"Jul 19, 2020",99 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jul 19, 2020",,,
,4 new cases in Otero County,,,13 new cases in McKinley County,,7 new cases in Eddy County,"Jul 20, 2020",88 new cases in Bernalillo County,15 new cases in Chaves County,
,,,,,,,"Jul 20, 2020",,,
,7 new cases in Otero County,,,35 new cases in McKinley County,,6 new cases in Eddy County,"Jul 22, 2020",89 new cases in Bernalillo County,7 new cases in Chaves County,
,,,,,,,"Jul 22, 2020",,,
,7 new cases in Otero County,,,16 new cases in McKinley County,,9 new cases in Eddy County,"Jul 21, 2020",60 new cases in Bernalillo County,11 new cases in Chaves County,
,,,,,,,"Jul 21, 2020",,,
,7 new cases in Otero County,,,26 new cases in McKinley County,,6 new cases in Eddy County,"Jul 23, 2020",126 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jul 23, 2020",,,
,,,,12 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jul 7, 2020",88 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jul 7, 2020",,,
,,,,,,,"Jul 8, 2020",,,
,,,,,,,"Jul 8, 2020",,,
,,,,,,,,,,
,,,,23 new cases in McKinley County,1 new case in Otero County,9 new cases in Eddy County,"Jul 8, 2020",99 new cases in Bernalillo County,14 new cases in Chaves County,
,,,,,,,"Jul 8, 2020",,,
,2 new cases in Otero County,,,20 new cases in McKinley County,,6 new cases in Eddy County,"Jul 9, 2020",97 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Jul 9, 2020",,,
,,,,28 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"Jun 30, 2020",36 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jun 30, 2020",,,
,,,,,,,"Jul 9, 2020",,,
,,,,,,,"Jul 9, 2020",,,
,,,,15 new cases in McKinley County,1 new case in Otero County,13 new cases in Eddy County,"Jul 11, 2020",80 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jul 11, 2020",,,
,5 new cases in Otero County,,,33 new cases in McKinley County,,3 new cases in Eddy County,"Jul 10, 2020",73 new cases in Bernalillo County,7 new cases in Chaves County,
,,,,,,,"Jul 10, 2020",,,
,,,,,,,"Jul 1, 2020",,,
,,,,,,,"Jul 1, 2020",,,
,4 new cases in Otero County,,,20 new cases in McKinley County,,2 new cases in Eddy County,"Jul 12, 2020",111 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jul 12, 2020",,,
,,,,,,,"Jul 13, 2020",,,
,,,,,,,"Jul 13, 2020",,,
,2 new cases in Otero County,,,24 new cases in McKinley County,,4 new cases in Eddy County,"Jul 13, 2020",59 new cases in Bernalillo County,17 new cases in Chaves County,
,,,,,,,"Jul 13, 2020",,,
,,,,,,,,,,
,,,,,,,"Jul 3, 2020",,,
,,,,,,,"Jul 3, 2020",,,
,,,,,,,"Jul 1, 2020",,,
,,,,,,,"Jul 1, 2020",,,
,,,,14 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"Jul 2, 2020",97 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jul 2, 2020",,,
,,1 new case in Eddy County,,17 new cases in McKinley County,1 new case in Otero County,,"Jul 1, 2020",38 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jul 1, 2020",,,
,7 new cases in Otero County,,,42 new cases in McKinley County,,8 new cases in Eddy County,"Jul 3, 2020",55 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jul 3, 2020",,,
,,1 new case in Eddy County,,20 new cases in McKinley County,,,"Jul 5, 2020",65 new cases in Bernalillo County,8 new cases in Chaves County,
,,,,,,,"Jul 5, 2020",,,
,7 new cases in Otero County,,,34 new cases in McKinley County,,10 new cases in Eddy County,"Jul 4, 2020",79 new cases in Bernalillo County,8 new cases in Chaves County,
,,,,,,,"Jul 4, 2020",,,
,2 new cases in Otero County,,,12 new cases in McKinley County,,2 new cases in Eddy County,"Jul 6, 2020",60 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jul 6, 2020",,,
,,,,32 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jun 22, 2020",22 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jun 22, 2020",,,
,,,,24 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jun 24, 2020",34 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Jun 24, 2020",,,
,,,,,,,"Jun 24, 2020",,,
,,,,,,,"Jun 24, 2020",,,
,,,,,,,"Jun 25, 2020",,,
,,,,,,,"Jun 25, 2020",,,
,,,,37 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"Jun 25, 2020",60 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jun 25, 2020",,,
,,,,50 new cases in McKinley County,,2 new cases in Eddy County,"Jun 23, 2020",20 new cases in Bernalillo County,,
,,,,,,,"Jun 23, 2020",,,
,,,,,,,,,,
,,,,74 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"Jun 26, 2020",50 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jun 26, 2020",,,
,,,,23 new cases in McKinley County,,4 new cases in Eddy County,"Jun 27, 2020",37 new cases in Bernalillo County,,
,,,,,,,"Jun 27, 2020",,,
,4 new cases in Otero County,,,28 new cases in McKinley County,,3 new cases in Eddy County,"Jun 28, 2020",45 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Jun 28, 2020",,,
,3 new cases in Otero County,,,11 new cases in McKinley County,,9 new cases in Eddy County,"Jun 29, 2020",45 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jun 29, 2020",,,
,,,,25 new cases in McKinley County,1 new case in Otero County,,"Jun 15, 2020",13 new cases in Bernalillo County,,
,,,,,,,"Jun 15, 2020",,,
,,,,28 new cases in McKinley County,,,"Jun 13, 2020",12 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Jun 13, 2020",,,
,2 new cases in Otero County,1 new case in Eddy County,,49 new cases in McKinley County,,,"Jun 12, 2020",18 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jun 12, 2020",,,
,,1 new case in Eddy County,,13 new cases in McKinley County,,,"Jun 16, 2020",27 new cases in Bernalillo County,,
,,,,,,,"Jun 16, 2020",,,
,,1 new case in Eddy County,,16 new cases in McKinley County,,,"Jun 14, 2020",12 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Jun 14, 2020",,,
,,,,,,,,,,
,,,,20 new cases in McKinley County,1 new case in Otero County,,"Jun 17, 2020",20 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jun 17, 2020",,,
,,1 new case in Eddy County,,20 new cases in McKinley County,,,"Jun 18, 2020",13 new cases in Bernalillo County,,
,,,,,,,"Jun 18, 2020",,,
,2 new cases in Otero County,,,22 new cases in McKinley County,,,"Jun 19, 2020",15 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Jun 19, 2020",,,
,,,,30 new cases in McKinley County,,2 new cases in Eddy County,"Jun 21, 2020",13 new cases in Bernalillo County,,
,,,,,,,"Jun 21, 2020",,,
,,,,30 new cases in McKinley County,,2 new cases in Eddy County,"Jun 20, 2020",15 new cases in Bernalillo County,,
,,,,,,,"Jun 20, 2020",,,
,2 new cases in Otero County,,,77 new cases in McKinley County,,2 new cases in Eddy County,"Jun 5, 2020",19 new cases in Bernalillo County,,
,,,,,,,"Jun 5, 2020",,,
,,,,,,,"Jun 2, 2020",,,
,,,,,,,"Jun 2, 2020",,,
,,,,30 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jun 4, 2020",20 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jun 4, 2020",,,
,,,,37 new cases in McKinley County,,,"Jun 3, 2020",28 new cases in Bernalillo County,,
,,,,,,,"Jun 3, 2020",,,
,,,,,,,,,,
,,1 new case in Eddy County,,40 new cases in McKinley County,,,"Jun 6, 2020",15 new cases in Bernalillo County,,
,,,,,,,"Jun 6, 2020",,,
,,,,50 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jun 8, 2020",10 new cases in Bernalillo County,,
,,,,,,,"Jun 8, 2020",,,
,,5 new case in Eddy County,,37 new cases in McKinley County,1 new case in Otero County,,"Jun 7, 2020",17 new cases in Bernalillo County,,
,,,,,,,"Jun 7, 2020",,,
,,,,12 new cases in McKinley County,1 new case in Otero County,,"Jun 9, 2020",12 new cases in Bernalillo County,,
,,,,,,,"Jun 9, 2020",,,
,,,,50 new cases in McKinley County,,4 new cases in Eddy County,"Jun 10, 2020",12 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jun 10, 2020",,,
,,,,14 new cases in McKinley County,,3 new cases in Eddy County,"Jun 11, 2020",31 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jun 11, 2020",,,
,,,,,,,"May 28, 2020",,,
,,,,,,,"May 28, 2020",,,
,,,,18 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"May 28, 2020",51 new cases in Bernalillo County,,
,,,,,,,"May 28, 2020",,,
,,,,,,,,,,
,,,,,,,"May 28, 2020",,,
,,,,,,,"May 28, 2020",,,
,,,,33 new cases in McKinley County,,,"May 27, 2020",24 new cases in Bernalillo County,,
,,,,,,,"May 27, 2020",,,
,,,,58 new cases in McKinley County,,,"May 30, 2020",19 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 30, 2020",,,
,4 new cases in Otero County,1 new case in Eddy County,,58 new cases in McKinley County,,,"May 29, 2020",12 new cases in Bernalillo County,,
,,,,,,,"May 29, 2020",,,
,,,,11 new cases in McKinley County,,2 new cases in Eddy County,"May 31, 2020",12 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"May 31, 2020",,,
,,,,,,,"Jun 1, 2020",,,
,,,,,,,"Jun 1, 2020",,,
,,,,35 new cases in McKinley County,,2 new cases in Eddy County,"Jun 1, 2020",12 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Jun 1, 2020",,,
,,,,30 new cases in McKinley County,,,"Jun 2, 2020",15 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jun 2, 2020",,,
,,,,,,,"May 22, 2020",,,
,,,,,,,"May 22, 2020",,,
,,,,,,,"May 22, 2020",,,
,,,,,,,"May 22, 2020",,,
,,,,,,,"May 23, 2020",,,
,,,,,,,"May 23, 2020",,,
,,,,44 new cases in McKinley County,,,"May 23, 2020",16 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 23, 2020",,,
,,,,,,,,,,
,2 new cases in Otero County,1 new case in Eddy County,,64 new cases in McKinley County,,,"May 24, 2020",12 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"May 24, 2020",,,
,,1 new case in Eddy County,,25 new cases in McKinley County,,,"May 25, 2020",13 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 25, 2020",,,
,,,,,,,"May 26, 2020",,,
,,,,,,,"May 26, 2020",,,
,3 new cases in Otero County,,,22 new cases in McKinley County,,,"May 26, 2020",15 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"May 26, 2020",,,
,,,,,,,"May 26, 2020",,,
,,,,,,,"May 26, 2020",,,
,,,,,,,"May 27, 2020",,,
,,,,,,,"May 27, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,,,,,,,
,,,,77 new cases in McKinley County,1 new case in Otero County,,"May 16, 2020",14 new cases in Bernalillo County,,
,,,,,,,"May 16, 2020",,,
,,,,24 new cases in McKinley County,,,"May 17, 2020",17 new cases in Bernalillo County,,
,,,,,,,"May 17, 2020",,,
,,,,,,,"May 20, 2020",,,
,,,,,,,"May 20, 2020",,,
,,,,35 new cases in McKinley County,,,"May 19, 2020",9 new cases in Bernalillo County,,
,,,,,,,"May 19, 2020",,,
,,,,67 new cases in McKinley County,,,"May 18, 2020",10 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 18, 2020",,,
,,,,25 new cases in McKinley County,,,"May 20, 2020",30 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 20, 2020",,,
,,,,39 new cases in McKinley County,,,"May 21, 2020",22 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"May 21, 2020",,,
,2 new cases in Otero County,,,44 new cases in McKinley County,,,"May 22, 2020",42 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 22, 2020",,,
,,,,14 new cases in McKinley County,1 new case in Otero County,,"May 10, 2020",23 new cases in Bernalillo County,,
,,,,,,,"May 10, 2020",,,
,,,,,,,"May 12, 2020",,,
,,,,,,,"May 12, 2020",,,
,,,,,,,"May 12, 2020",,,
,,,,,,,"May 12, 2020",,,
,,,,,,,,,,
,4 new cases in Otero County,,,63 new cases in McKinley County,,,"May 11, 2020",14 new cases in Bernalillo County,,
,,,,,,,"May 11, 2020",,,
,,,,43 new cases in McKinley County,,,"May 12, 2020",25 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 12, 2020",,,
,,,,,,,"May 13, 2020",,,
,,,,,,,"May 13, 2020",,,
,,,,53 new cases in McKinley County,,,"May 13, 2020",16 new cases in Bernalillo County,,2 new case in Chaves County
,,,,,,,"May 13, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,,,,"May 15, 2020",,,
,,,,52 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"May 14, 2020",25 new cases in Bernalillo County,,
,,,,,,,"May 14, 2020",,,
,,,,57 new cases in McKinley County,,,"May 15, 2020",36 new cases in Bernalillo County,,
,,,,,,,"May 15, 2020",,,
,,,,,,,"May 5, 2020",,,
,,,,,,,"May 5, 2020",,,
,3 new cases in Otero County,,,89 new cases in McKinley County,,,"May 4, 2020",24 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 4, 2020",,,
,,,,,,,"May 5, 2020",,,
,,,,,,,"May 5, 2020",,,
,,,,43 new cases in McKinley County,,,"May 5, 2020",21 new cases in Bernalillo County,,
,,,,,,,"May 5, 2020",,,
,,,,,,,,,,
,,,,63 new cases in McKinley County,1 new case in Otero County,,"May 6, 2020",18 new cases in Bernalillo County,,
,,,,,,,"May 6, 2020",,,
,,,,,,,"May 7, 2020",,,
,,,,,,,"May 7, 2020",,,
,,,,65 new cases in McKinley County,,,"May 7, 2020",32 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 7, 2020",,,
,,,,,,,"May 8, 2020",,,
,,,,,,,"May 8, 2020",,,
,6 new cases in Otero County,1 new case in Eddy County,,58 new cases in McKinley County,,,"May 8, 2020",19 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 8, 2020",,,
,,,,48 new cases in McKinley County,,,"May 9, 2020",20 new cases in Bernalillo County,,
,,,,,,,"May 9, 2020",,,
,,,,,,,"Apr 29, 2020",,,
,,,,,,,"Apr 29, 2020",,,
,,,,133 new cases in McKinley County,1 new case in Otero County,,"Apr 29, 2020",27 new cases in Bernalillo County,,
,,,,,,,"Apr 29, 2020",,,
,,,,43 new cases in McKinley County,,,"Apr 28, 2020",44 new cases in Bernalillo County,,
,,,,,,,"Apr 28, 2020",,,
,,,,74 new cases in McKinley County,,,"Apr 30, 2020",48 new cases in Bernalillo County,,
,,,,,,,"Apr 30, 2020",,,
,,,,,,,,,,
,,,,,,,"May 1, 2020",,,
,,,,,,,"May 1, 2020",,,
,,1 new case in Eddy County,,53 new cases in McKinley County,1 new case in Otero County,,"May 2, 2020",53 new cases in Bernalillo County,,
,,,,,,,"May 2, 2020",,,
,,,,37 new cases in McKinley County,,,"May 1, 2020",21 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"May 1, 2020",,,
,,,,,,,"May 4, 2020",,,
,,,,,,,"May 4, 2020",,,
,,,,28 new cases in McKinley County,,,"May 3, 2020",37 new cases in Bernalillo County,,
,,,,,,,"May 3, 2020",,,
,,,,,,,"May 3, 2020",,,
,,,,,,,"May 3, 2020",,,
,,,,,,,"Apr 22, 2020",,,
,,,,,,,"Apr 22, 2020",,,
,,,,45 new cases in McKinley County,,,"Apr 21, 2020",20 new cases in Bernalillo County,,
,,,,,,,"Apr 21, 2020",,,
,,1 new case in Eddy County,,59 new cases in McKinley County,,,"Apr 22, 2020",15 new cases in Bernalillo County,,
,,,,,,,"Apr 22, 2020",,,
,,,,,,,,,,
,2 new cases in Otero County,,,54 new cases in McKinley County,,,"Apr 23, 2020",31 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Apr 23, 2020",,,
,,,,,,,"Apr 24, 2020",,,
,,,,,,,"Apr 24, 2020",,,
