BernalilloCountyS,OteroCountyM,EddyCountyS,McKinleyCountyS,McKinleyCountyM,OteroCountyS,EddyCountyM,date,BernalilloCountyM,ChavesCountyM,ChavesCountyS
,,,,,,,"Apr 6, 2020",,,
,,,,,,,"Apr 6, 2020",,,
,,,,,,,"Apr 7, 2020",,,
,,,,,,,"Apr 7, 2020",,,
,,,,,,,"Apr 7, 2020",,,
,,,,,,,"Apr 7, 2020",,,
,,,,11 new cases in McKinley County,,,"Apr 7, 2020",42 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Apr 7, 2020",,,
,,,,15 new cases in McKinley County,,2 new cases in Eddy County,"Apr 8, 2020",20 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Apr 8, 2020",,,
,,1 new case in Eddy County,,,,,"Mar 28, 2020",11 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Mar 28, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 29, 2020",,,
,,,,,,,"Mar 29, 2020",,,
,,,,,,,,,,
,,1 new case in Eddy County,,4 new cases in McKinley County,,,"Mar 29, 2020",9 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Mar 29, 2020",,,
,,,,,,,"Mar 31, 2020",,,
,,,,,,,"Mar 31, 2020",,,
,,,,3 new cases in McKinley County,,,"Mar 30, 2020",16 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Mar 30, 2020",,,
,,,,,,,"Apr 1, 2020",,,
,,,,,,,"Apr 1, 2020",,,
,,,,4 new cases in McKinley County,,,"Mar 31, 2020",12 new cases in Bernalillo County,,
,,,,,,,"Mar 31, 2020",,,
,,,,4 new cases in McKinley County,1 new case in Otero County,,"Apr 1, 2020",19 new cases in Bernalillo County,,
,,,,,,,"Apr 1, 2020",,,
,,,,,,,"Mar 24, 2020",,,
,,,,,,,"Mar 24, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,,,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,"Mar 25, 2020",,,
,,,,,,,"Mar 26, 2020",,,
,,,,,,,"Mar 26, 2020",,,
,,,,,,,"Mar 26, 2020",,,
,,,,,,,"Mar 26, 2020",,,
,, 1 new case in Eddy County,, 2 new cases in McKinley County,,,"Mar 27, 2020", 27 new cases in Bernalillo County,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 27, 2020",,,
,,,,,,,"Mar 20, 2020",,,
,,,,,,,"Mar 20, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 19, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 21, 2020",,,
,,,,,,,"Mar 21, 2020",,,
,,,,,,,,,,
,,,,,,,"Mar 20, 2020",,,
,,,,,,,"Mar 20, 2020",,,
,,,,,,,"Mar 22, 2020",,,
,,,,,,,"Mar 22, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 23, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 17, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,,,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 18, 2020",,,
,,,,,,,"Mar 12, 2020",,,
,,,,,,,"Mar 12, 2020",,,
,,,,,,,"Mar 12, 2020",,,
,,,,,,,"Mar 12, 2020",,,
,,,,,,,"Mar 13, 2020",,,
,,,,,,,"Mar 13, 2020",,,
,,,,,,,,,,
,,,,,,,"Mar 14, 2020",,,
,,,,,,,"Mar 14, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 14, 2020",,,
,,,,,,,"Mar 14, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 15, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Mar 16, 2020",,,
,,,,,,,"Feb 6, 2020",,,
,,,,,,,"Feb 6, 2020",,,
,,,,,,,"Feb 13, 2020",,,
,,,,,,,"Feb 13, 2020",,,
,,,,,,,,,,
,,,,,,,"Feb 20, 2020",,,
,,,,,,,"Feb 20, 2020",,,
,,,,,,,"Feb 27, 2020",,,
,,,,,,,"Feb 27, 2020",,,
,,,,,,,"Mar 3, 2020",,,
,,,,,,,"Mar 3, 2020",,,
,,,,,,,"Mar 10, 2020",,,
,,,,,,,"Mar 10, 2020",,,
,,,,,,,"Mar 6, 2020",,,
,,,,,,,"Mar 6, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Mar 11, 2020",,,
,,,,,,,"Jan 27, 2020",,,
,,,,,,,"Jan 27, 2020",,,
,,,,,,,"Jan 22, 2020",,,
,,,,,,,"Jan 22, 2020",,,
