date,newCases
"Apr 18, 2020","13 new cases in Bernalillo County,1 new case in Cibola County,2 new cases in Doña Ana County,1 new case in Guadalupe County,40 new cases in McKinley County,1 new case in Quay County,10 new cases in Sandoval County,17 new cases in San Juan County,2 new cases in Santa Fe County"
,
"Apr 17, 2020","24 new cases in Bernalillo County,2 new cases in Chaves County,2 new cases in Cibola County,1 new case in Colfax County,7 new cases in Doña Ana County,2 new cases in Eddy County,1 new case in Grant County,51 new cases in McKinley County,8 new cases in Sandoval County,14 new cases in San Juan County,1 new case in Santa Fe County,2 new cases in Valencia County"
,
"Apr 7, 2020",
,
"Apr 8, 2020","20 new cases in Bernalillo County,1 new case in Chaves County,1 new case in Cibola County,4 new cases in Doña Ana County,2 new cases in Eddy County,15 new cases in McKinley County,1 new case in Rio Arriba County,14 new cases in Sandoval County,9 new cases in San Juan County,2 new cases in Santa Fe County,2 new cases in Socorro County,1 new case in Valencia County"
,
"Apr 17, 2020",
,
"Apr 7, 2020","42 new cases in Bernalillo County,1 new case in Chaves County,1 new case in Cibola County,2 new cases in Curry County,5 new cases in Doña Ana County,1 new case in Grant County,11 new cases in McKinley County,24 new cases in San Juan County,18 new cases in Sandoval County,2 new cases in Santa Fe County,1 new case in Taos County,1 new case in Torrance County"
,
"Apr 9, 2020",
,
,
"Apr 10, 2020",
,
"Apr 9, 2020","45 new cases in Bernalillo County,2 new cases in Chaves County,5 new cases in Cibola County,1 new case in Colfax County,1 new case in Curry County,5 new cases in Doña Ana County,2 new cases in Los Alamos County,13 new cases in McKinley County,9 new cases in San Juan County,31 new cases in Sandoval County,3 new cases in Santa Fe County,2 new cases in Socorro County,1 new case in Taos County,1 new case in Torrance County,3 new cases in Valencia County"
,
"Apr 10, 2020","38 new cases in Bernalillo County,3 new cases in Cibola County,3 new cases in Grant County,1 new case in Hidalgo County,2 new cases in Luna County,29 new cases in McKinley County,17 new cases in San Juan County,6 new cases in Sandoval County,2 new cases in Santa Fe County,1 new case in Socorro County,1 new case in Torrance County,3 new cases in Valencia County"
,
"Apr 11, 2020",
,
"Apr 11, 2020","17 new cases in Bernalillo County,1 new case in Chaves County,1 new case in Cibola County,5 new cases in Doña Ana County,1 new case in Grant County,27 new cases in McKinley County,1 new case in Quay County,22 new cases in Sandoval County,7 new cases in San Juan County,2 new cases in Santa Fe County,1 new case in Socorro County,1 new case in Valencia County"
,
